Temperature,Monthly_sales_total
33.0,658663892.3
36.0,671827494.7
30.0,677114762.8
26.0,678107834.5
22.0,679605633.4
34.0,683850798.0
33.0,684804727.4
20.0,695634327.5
37.0,710355148.8
22.0,723686258.1
28.0,567065057.2
34.0,579082142.3
32.0,634134803.1
36.0,640890684.8
34.0,643111941.2
23.0,650102504.1
35.0,654921708.3
31.0,658812409.0
19.0,662985769.6
24.0,665098238.1
29.0,665737476.5
37.0,673435229.6
35.0,587831693.4
26.0,612722341.1
36.0,638190044.4
31.0,644565925.7
27.0,647714509.8
28.0,651196541.7
35.0,656776153.4
26.0,662443587.2
33.0,669392870.5
36.0,671721700.4
35.0,910562104.7766666
31.0,910562104.7766666
24.0,552068279.8
36.0,583459389.1
22.0,617120769.1
24.0,629720275.7
28.0,631148282.3
23.0,650419091.2
32.0,654307081.4
19.0,663743237.1
21.0,663893255.6
34.0,676091696.1
20.0,680800374.3
26.0,691223502.6
32.0,578885258.8
34.0,593416173.8
30.0,596972463.4
19.0,621241043.0
34.0,636161123.3
37.0,657201553.8
18.0,680523658.7
34.0,689506919.5
35.0,709076831.2
27.0,722555484.3
23.0,728308287.6
27.0,910562104.7766666
21.0,624471766.9
24.0,680852892.4
28.0,683242977.1
37.0,685899456.9
31.0,690475904.3
18.0,698748251.2
25.0,700859305.8
33.0,704888538.7
35.0,704943978.4
31.0,722524956.5
36.0,746924565.8
35.0,776935843.7
23.0,648568325.9
20.0,649894400.9
34.0,719661302.2
25.0,729574410.4
29.0,737458659.6
38.0,750649055.0
37.0,754822681.6
31.0,786975546.8
21.0,796390782.3
24.0,818188204.1
33.0,821938058.5
35.0,855208231.0
37.0,688221053.7
23.0,699491263.8
33.0,742822690.2
26.0,787997842.9
22.0,794635111.8
22.0,796546477.3
29.0,818229628.7
37.0,824833970.3
28.0,914897266.5
34.0,926917077.2
34.0,931136998.6
27.0,970309105.4
20.0,727222749.5
31.0,860265800.8
26.0,861705889.6
21.0,871121358.4
20.0,874983932.6
21.0,893923810.2
24.0,902975217.3
37.0,958755883.9
35.0,966735733.0
31.0,969250648.4
33.0,1028845761.0
37.0,1032042960.0
28.0,701515154.9
35.0,822342767.1
38.0,952471654.3
22.0,985516628.4
25.0,1003274253.0
29.0,1007127290.0
31.0,1009512917.0
37.0,1033319931.0
20.0,1151538124.0
24.0,1178714674.0
30.0,1217058531.0
37.0,1266324418.0
37.0,834821728.2
23.0,976567717.4
34.0,1055163410.0
31.0,1096219450.0
26.0,1119969412.0
22.0,1138322755.0
19.0,1143307754.0
37.0,1266053612.0
26.0,1329721639.0
21.0,1355776618.0
28.0,1442096282.0
38.0,1510162041.0
21.0,978841685.5
33.0,1228930307.0
35.0,1241555008.0
35.0,1273347146.0
32.0,1303258161.0
22.0,1335228290.0
25.0,1408329096.0
35.0,1479581228.0
38.0,1485943421.0
21.0,1605647986.0
25.0,1705535335.0
27.0,1781957055.0
24.0,1375545568.0
34.0,1476727342.0
35.0,1530532015.0
32.0,1532355351.0
27.0,1542484084.0
22.0,1591984164.0
21.0,1700259586.0
33.0,1885490186.0
35.0,1981351537.0
38.0,2038881639.0
39.0,2260256197.0
23.0,910562104.7766666
