Price_Per_Unit,Advertising_costs,Discount
7.786638435829394,7373622.123,0.0
10.9,6808533.725,0.654
10.8,6650320.945,0.8532
9.7,6926868.075,0.6111
8.4,6957573.2579999985,0.672
9.9,8297727.131,0.6732
8.5,8247021.827,0.5695
9.7,7451394.112000002,0.7372
9.6,7338173.128,0.9312
8.3,7538991.494,0.5395
11.1,6098611.799,0.5328
10.6,6063523.547,0.4558
11.8,6063523.547,0.649
10.6,6201478.7579999985,0.3816
10.6,5918917.382,0.4664
10.9,6268148.422,0.7085
9.2,7437522.046,0.4876
10.6,7408825.502,0.477
10.5,7450141.896000002,0.7035
9.6,7521874.187000001,0.6144
8.5,7371884.481000002,0.6629999999999999
8.9,6699160.789,0.5874
9.9,6028020.037000001,0.3564
9.9,6028020.037000001,0.4851
9.5,6028020.037000001,0.3325
10.9,6133294.067000002,0.5777
9.3,6201478.7579999985,0.4371
10.8,7306475.031,0.54
9.5,7506335.036,0.513
10.7,7234954.839,0.5778
9.7,7132892.322000002,0.6984
8.8,6925582.262,0.6248
3.5,7961091.222999998,0.4515
3.6,7451394.112000002,0.4536
10.9,6098611.799,0.5014
11.9,6063523.547,0.5593
11.0,5992091.669,0.627
10.7,5955727.449,0.6099
10.9,6063523.547,0.4687
9.2,7234408.93,0.552
11.7,7372736.05,0.5967
8.7,7401084.26,0.5742
9.1,7410734.829,0.6825
10.3,6644256.364,0.5768
9.3,6975109.489,0.8277
9.5,7961091.222999998,0.7505
10.6,6098611.799,0.3816
11.8,6063523.547,0.4956
10.0,6063523.547,0.39
10.1,6028020.037000001,0.5656
10.8,6167580.286,0.5724
10.6,7473872.916,0.53
8.099988435490095,6945159.563999998,0.0
9.7,7665771.004,0.7954
7.7,7451394.112000002,0.8239
9.8,7560497.045,1.127
7.6,7979782.943,0.4712
3.9,9010419.93,0.4992
10.8,5992091.669,0.4212
8.9,7047623.699,0.7743
9.0,7686389.721,0.594
8.1,8125265.853999998,0.6723
8.6,7961091.222999998,0.6364
9.2,9010419.93,0.7268
8.8,7268130.991,0.7744
8.5,7220510.989,0.6629999999999999
9.9,7196414.382,0.4752
9.2,7603050.91,0.7084
8.2,8630521.877,0.7708
7.5,7495512.512999998,0.72
9.1,6063523.547,0.5733
8.9,6300935.446,0.4361
9.4,7517330.874,0.611
8.9,8380376.988,0.9701
6.6,7517330.874,0.5346
7.9,7904307.1570000015,0.7031
8.8,7451394.112000002,0.8008
7.951912466765132,7147632.864,0.0
8.2,8615484.194,0.6232
6.7,7495512.512999998,0.5829
7.9,6580931.4410000015,0.7426
8.2,5394092.977000001,0.779
8.9,7885137.872,0.7921
7.8,7429089.092,0.5538
8.7,8833497.769,0.7917
6.5,7581849.529,0.5005
8.0,7998358.924,0.7759999999999999
8.8,8331060.9339999985,0.6688
7.2,7098045.005,0.6048
8.9,5437889.332,0.8633
7.5,7706867.498,0.7125
7.4,7338173.128,0.6882
7.7,7429089.092,0.7392
7.3,5647765.095,0.7592
7.1,7961091.222999998,0.4402
7.9,6610488.161,0.7742
7.2,6917733.284,0.6264
6.2,7172122.89,0.5828
7.7,7315006.9010000015,0.7084
6.9,6996340.449,0.7038
7.7,7147632.864,0.693
6.4,6970366.162000001,0.5632
7.7,6490472.271000002,0.6622
6.4,5727769.76,0.7104
5.7,5727769.76,0.6441
7.7,5843913.371,0.7315
9.7,7244415.589,0.9215
8.7,6201478.7579999985,0.9483
7.5,6781963.511,0.72
7.6,6234998.788,0.7296
6.1,6781963.511,0.61
7.7,6639756.797,0.8932
6.2,6610488.161,0.6696
6.4,6133294.067000002,0.608
6.4,7846427.51,0.3776
6.1,7372736.05,0.2501
6.7,7437522.046,0.7839
6.3,7408825.502,0.5796
6.6,4811624.798,0.5676
7.1,5565568.055,0.8094
7.7,7603050.91,0.7315
7.8,7706867.498,0.273
5.9,7495512.512999998,0.2124
5.3,7560497.045,0.6095
5.6,7998358.924,0.5208
6.2,7373622.123,0.7874
5.7,7401084.26,0.7353
7.678216397011065,7521874.187000001,0.0
6.7,6925582.262,0.0
5.9,6650320.945,0.5605
5.7,5437889.332,0.5472
6.7,7506335.036,0.7906
4.9,7473872.916,0.6223
5.4,7234954.839,0.7182
5.4,7450141.896000002,0.7182
4.9,7410734.829,0.5635
4.7,7132892.322000002,0.5875
5.4,6699160.789,0.3834
4.5,6644256.364,0.35100000000000003
5.4,7047623.699,0.7398
3.8,8297727.131,0.0
5.3,8247021.827,0.6731
6.6,7371884.481000002,0.8844
6.8,6808533.725,0.476
6.1,6926868.075,0.8357
4.7,6957573.2579999985,0.4465
5.3,6945159.563999998,0.4346
6.6,6975109.489,0.7788
6.2,7686389.721,0.8556
5.1,8125265.853999998,0.6579
4.3,7885137.872,0.5934
4.0,7665771.004,0.56
5.4,7961091.222999998,0.7668
3.5,7429089.092,0.511
